tripID,startTime,endTime,startStationID,endStationID,start_lat,start_lng,end_lat,end_lng,stationID,type,latitude,longitude,time
F2B9E63D7AB66BB3,2023-09-01 07:47:29,2023-09-01 07:51:11,M32073,M32018,42.368952,-71.109988,42.373268,-71.118579,,,,,
7F2D18F6BE94E739,2023-09-01 07:47:38,2023-09-01 07:55:35,M32082,D32013,42.363045,-71.082871,42.351142,-71.073292,,,,,
8737A894E08CDD31,2023-09-01 07:48:02,2023-09-01 08:01:15,M32044,M32009,42.381651,-71.13427,42.363465,-71.100573,,,,,
7641DB83577B57F6,2023-09-01 07:48:46,2023-09-01 08:07:28,M32029,A32003,42.387995,-71.119084,42.350406,-71.108279,,,,,
947E89D6F07744BC,2023-09-01 07:48:51,2023-09-01 07:54:11,M32029,S32023,42.387995,-71.119084,42.381001,-71.104025,,,,,
4592313E83C8133E,2023-09-01 07:48:52,2023-09-01 08:01:43,B32010,M32053,42.348706,-71.097009,42.361619,-71.080436,,,,,
48C50EA319CFDA1E,2023-09-01 07:48:58,2023-09-01 08:16:53,M32039,A32004,42.386748,-71.119019,42.338629,-71.1065,,,,,
C8AC19CD45751575,2023-09-01 07:49:13,2023-09-01 07:54:30,M32002,M32003,42.366277,-71.09169,42.362242,-71.083111,,,,,
CED69A3D4ED7AF1A,2023-09-01 07:49:21,2023-09-01 07:55:54,M32012,M32005,42.366426,-71.105495,42.362131,-71.091156,,,,,
AF3AF40B53C3CCCF,2023-09-01 07:49:27,2023-09-01 07:52:24,M32045,D32050,42.36769,-71.071163,42.364356,-71.069594,,,,,
F2F8D023D31EAB6A,2023-09-01 07:49:28,2023-09-01 08:02:46,M32029,A32019,42.387995,-71.119084,42.364475,-71.128408,,,,,
23954FA061418DA5,2023-09-01 07:49:33,2023-09-01 08:06:50,M32011,C32004,42.36507,-71.1031,42.340814,-71.08162,,,,,
54982C70A20BA2D5,2023-09-01 07:49:53,2023-09-01 08:05:45,M32029,S32050,42.387995,-71.119084,42.375448,-71.091174,,,,,
2D27299C334C2A3A,2023-09-01 07:50:01,2023-09-01 07:59:27,M32006,C32004,42.3581,-71.093198,42.340814,-71.08162,,,,,
2B8F783E46A6C2AA,2023-09-01 07:50:19,2023-09-01 08:08:51,S32019,M32037,42.396387,-71.120113,42.3625,-71.08822,,,,,
4C8FC55079B254BD,2023-09-01 07:50:19,2023-09-01 08:08:40,S32015,M32055,42.391084,-71.090394,42.365994,-71.095222,,,,,
775C3FB0BBA1872D,2023-09-01 07:50:38,2023-09-01 07:56:52,M32012,A32006,42.366426,-71.105495,42.364263,-71.118276,,,,,
2EA97EA1B3637DD3,2023-09-01 07:50:59,2023-09-01 07:59:11,M32018,M32012,42.373268,-71.118579,42.366426,-71.105495,,,,,
81AC7125B8B42322,2023-09-01 07:51:30,2023-09-01 08:00:22,M32063,B32016,42.368605,-71.099302,42.350827,-71.089811,,,,,
085B8A861F10D867,2023-09-01 07:51:39,2023-09-01 08:00:47,D32050,M32078,42.364356,-71.069594,42.36642,-71.088542,,,,,
